rsv_id,user_id,isbn,rsv_date,status
5c544959-7fb6-4832-abfc-f29971aacb56,162637,195153448,2024-02-07,reserved
c0022a2c-fe91-4716-b11c-4bb5acd1d208,35624,2005018,2024-02-27,disponible
8f7e0fef-e111-4505-a29d-67e23817dd91,169707,60973129,2024-04-14,disponible
e073bfac-bd28-4fce-a488-d525aa344617,39157,374157065,2024-03-27,reserved
9774afec-e9f4-49d4-83e7-6684985504f4,260598,393045218,2024-10-21,disponible
6015174d-0094-4b21-ab82-90e2eda0b9c1,65016,399135782,2024-02-08,reserved
1d4d4a39-c04b-44f4-8970-23a0b340021d,139241,425176428,2024-01-20,disponible
b2cfbbbb-0ed5-4804-8079-03369b2b1a32,243307,671870432,2024-06-11,reserved
6c659323-9f7a-4625-9ed1-cab0e5547d4c,84950,679425608,2024-03-08,reserved
1fd03ded-f6ab-452d-8159-b936e2064ef8,38042,074322678X,2024-07-10,disponible
6e5018b9-4cb3-4f04-b7a9-c2477e96eeb2,259652,771074670,2024-06-30,reserved
96573174-bbe7-4524-9051-e1528dc057af,221878,080652121X,2024-08-20,reserved
eaef8263-3313-4217-909c-906f63a8ee4b,172695,887841740,2024-03-01,reserved
fa5a7cba-d104-41c8-9243-b1af8cfdb2ba,118000,1552041778,2024-01-10,disponible
e24277a1-8f7a-460a-b843-6e5613fa74c2,215731,1558746218,2024-09-16,reserved
2e218caa-14e2-4d24-9d36-45042f21d977,197457,1567407781,2024-07-06,disponible
478fdc0d-8ac1-40c9-8e43-7c2ccc382081,171049,1575663937,2024-08-17,disponible
3df2c439-d0f9-46f2-9e27-40c812e69c71,51616,1881320189,2024-02-26,reserved
3e00d0ee-0f24-4813-9f52-c20d862061a5,14536,440234743,2024-10-17,reserved
f345a992-0997-4919-8337-e9a2d4a0567f,273507,452264464,2024-03-08,reserved
30fe2be3-2063-4f02-8b66-e9b719fcad0b,10873,609804618,2024-02-18,reserved
a1e41149-6074-4c0b-82bb-d875dd882036,71936,1841721522,2024-11-18,reserved
00e71c4b-da39-448e-b6c9-cd0fb678732a,11039,1879384493,2024-12-25,disponible
c7377b3e-693d-44ff-8110-ff92f0a72026,65938,61076031,2024-07-24,disponible
9b5328d3-4a12-4331-872d-9839c3c655d0,95599,439095026,2024-03-17,disponible
67a9f73a-bdf5-490b-953b-d95713c3488e,190737,689821166,2023-12-30,reserved
b7bab4b7-5c73-4173-8139-2826ca36b59e,11929,971880107,2024-09-20,reserved
9ebf7d63-f8fe-42da-9d18-0b465d32a2ee,272616,345402871,2024-06-29,disponible
920582c8-991a-49e2-95b3-d7c40ee6cab8,109145,345417623,2024-05-11,reserved
458aa6d7-1ec8-4c8c-bd1a-ef5ca3a78e18,203911,684823802,2024-09-20,reserved
b4fd3a3e-8e99-4ce9-8bc4-09d9563f4af1,223223,375759778,2024-10-13,disponible
9f04fb26-7acd-4632-8bac-b16816da29d5,37553,425163091,2024-05-16,disponible
64106495-a88c-4d3e-a761-4de6447e5bb2,203746,3404921038,2024-06-26,reserved
2da2943a-f45b-47dd-bf1a-c2d4dde291bf,258544,3442353866,2024-03-11,disponible
91e50911-2951-41aa-82ca-ea9c3ec24507,238572,3442410665,2024-06-17,disponible
575c0790-2a7f-48a5-89c9-ed80e611cb22,233947,3442446937,2024-11-24,reserved
6246a996-19b8-452b-bd75-6addef85ab05,127007,375406328,2024-01-18,reserved
3aeaf68a-9b35-4e9c-a2ec-e99a4373f5c0,88364,446310786,2024-12-11,reserved
c8dc03c2-27bf-4ce0-837b-c4e84e0a2ebb,5722,449005615,2024-01-08,reserved
52796222-a725-4952-89bc-7008610f8568,227828,60168013,2024-12-18,disponible
03e632f6-3031-459c-9d7b-5e4188bd9140,32394,038078243X,2024-07-21,reserved
312dd865-bc10-4070-9afb-2f06ba13a6a2,200057,055321215X,2024-12-23,disponible
d2edaa45-5f64-4225-a0d3-664d2564361d,47208,067176537X,2024-09-11,disponible
d2bbf560-b2af-4e80-a1d6-b3cc0a7ecbd5,101761,61099686,2024-02-26,reserved
98a3c7ff-730e-4a26-b656-9ac03ec3cf8d,227298,553582909,2024-01-03,disponible
30f9a993-6684-4422-9aeb-7f885bea7a58,36837,671888587,2024-07-01,reserved
826f62f5-c627-44bf-b1a8-0ea0d35664e6,119418,553582747,2024-01-31,disponible
408dc331-ed0a-450b-bcf0-4b842c856219,217515,425182908,2024-05-27,disponible
18dc0ca2-13c1-452f-b115-19b948fe3e9a,220377,042518630X,2024-04-25,disponible
ba41a396-3d6f-4e4d-bfcf-304b133f9deb,125321,440223571,2024-04-05,disponible
744505a4-ca8b-4988-aa49-600776b7742b,185849,812523873,2024-03-27,reserved
45f1f0b6-d4ec-43b3-8f57-52854dc3083b,237340,842342702,2024-12-21,reserved
38112f14-16ea-41ee-88a2-f8abbff8f9f7,155281,440225701,2024-02-07,reserved
142ffb8d-6191-47b1-a6eb-625048a52746,122683,60914068,2024-12-21,disponible
ae537807-dcb9-446e-9dd0-20e2764b0176,218055,156047624,2024-03-27,disponible
197589d3-987d-4421-8b80-aacd5532a587,150517,245542957,2024-09-04,reserved
3d53ee61-b2ff-4671-83fe-7a889d291eda,233611,380715899,2024-04-03,reserved
0d12a61a-79f1-4438-95ee-b7edadea63aa,250348,553280333,2024-05-28,disponible
5c9703d0-b4c3-40a7-a05d-6abf042bfa8c,76815,961769947,2024-01-12,reserved
9926974b-0e1b-48df-bacd-9288e13e1fdd,971,964778319,2024-12-15,disponible
e497f6cd-a071-4a7b-ae85-19aa2cd4a3a8,260935,671623249,2024-04-20,disponible
6fefad55-1b48-4f25-b345-c60e973c4c76,275267,679810307,2024-12-18,disponible
db8c9bfd-da37-414c-92e0-13269bc22fa4,27849,679865691,2024-08-03,disponible
a065bf8a-4f92-4fba-9faf-dc6e7c348d76,152712,2070423204,2024-05-13,disponible
6d475b05-154b-417e-8af2-1c621c91689c,59630,345260317,2024-06-05,reserved
c29593c1-ab11-4fac-b61c-9edf8f9ea58b,127838,394743741,2024-03-14,disponible
c8e4d793-b247-483e-a5f5-48ed6215f36e,264184,042511774X,2024-04-03,reserved
6a7a945a-0151-49e6-903a-72f1e0aa0d80,273610,804106304,2024-11-16,reserved
9ed80719-bad5-48b6-b370-e4d277cab447,82310,1853262404,2024-09-22,reserved
93ffebfc-476b-4033-831b-404819df5402,47668,312970242,2024-06-13,disponible
5f312479-b85d-4fb8-80f5-72d0fabedea7,110072,1853260053,2024-05-23,disponible
c0a80b5f-a72b-4d8b-a4c2-7a1e2857ab0f,124249,1414035004,2024-01-02,reserved
9310cfb7-e282-4905-874b-afcbef5d681f,225999,60938412,2024-09-20,reserved
7f3f7aac-2ee5-4fa8-be81-90c2286fcbbd,269303,140067477,2024-06-09,disponible
be7f2e58-a618-4a48-b343-004b9fe387b4,123215,345465083,2024-04-17,disponible
d8d4fb00-70ff-4c56-aa4a-6c7b883ea092,153744,451625889,2024-08-19,disponible
cadbb06b-e7fb-4cde-bebf-f1e4d7be6a60,122523,1558531025,2024-06-15,disponible
d85f69ea-b29d-4a01-917f-bcec7f463525,123096,441783589,2024-09-12,reserved
225e7c53-c7d8-438c-831e-0bfdd33c59d5,253489,394895894,2024-12-23,reserved
