brw_id	user_id	isbn	brw_date	return_date
2cdab437-cba3-422b-8ec9-e1752acb3afd	129822	373610564	2024-06-03	2024-07-03
b6a45ded-4f20-4725-84a4-817aaf716229	277981	30706238	2024-06-03	2024-07-03
39153b80-14cc-486b-89d3-f294f7ff4a8c	209652	785300864	2024-11-29	2024-12-29
f12e371d-d925-4f4a-b5a7-fe4896aeeaef	30426	61032158	2024-03-08	2024-04-07
697f5747-bc6c-45c7-9266-85a53df42212	242329	395329434	2024-09-29	2024-10-29
94fc0880-b8ce-4863-a418-874da48a8af9	75045	671875221	2024-08-31	2024-09-30
3e14cb3e-317b-47c8-aa8a-6a6ccc9d1f5c	112069	714503118	2024-02-22	2024-03-23
c6bb376a-b0cc-45a2-beb4-095cade21b66	242137	525940677	2024-09-15	2024-10-15
c87ad468-68c4-4ac9-bc4b-47728b1a5cbf	110752	875084206	2024-01-23	2024-02-22
9f5bf755-f4ce-4f4a-a4b6-69a0553fcc5d	150116	451402065	2024-04-06	2024-05-06
9ef40827-4761-4340-aa9e-ecb02fddb32a	247999	8478886818	2024-08-23	2024-09-22
e88936df-9163-4e86-92c8-ddc2c7967b77	78660	64471802	2024-03-28	2024-04-27
fdf5e316-efd4-4b62-bb9a-0c977de88c0b	42571	879750189	2024-06-26	2024-07-26
01341934-91d1-4aa3-a3f1-c9d1a7d46428	58957	733614329	2024-05-28	2024-06-27
0d5fbff7-6ed3-4e06-8748-f323ecd24114	42045	1573182222	2024-12-07	2025-01-06
4627bccf-a66f-45a9-882e-ae8a16a1d92e	188695	811804976	2024-07-20	2024-08-19
d570b720-dac7-4298-9477-453cd659c000	268625	1583220488	2024-12-12	2025-01-11
9a474e75-a254-46b7-bb3f-c0268e02e85c	162901	451410033	2024-09-09	2024-10-09
7891762d-bd46-4ece-8d9e-a7fa0a01dd92	65088	679801138	2024-09-09	2024-10-09
6277f402-7e2d-49f7-885a-a19ed9d97615	175288	674160827	2024-05-27	2024-06-26
5780549d-bc26-4833-a1f9-34b4d5b9dd6b	92380	60548479	2024-06-05	2024-07-05
8aac4b2d-dcd1-43f1-9a74-a5f8ba4080b8	81014	812513509	2024-04-01	2024-05-01
a712c441-335b-49d8-9a96-1b64d9da4cb8	110392	6140823	2024-07-10	2024-08-09
c2fc71e2-2803-4d83-8479-4c87a70b857f	149085	448413256	2024-02-02	2024-03-03
c42b3567-11ce-4e85-88bf-0409a93a0e0b	256191	679442405	2024-04-25	2024-05-25
a3386ea1-7be4-4485-b041-ebcb24468869	222604	375502440	2024-04-24	2024-05-24
f2360cd3-f0c0-4084-add6-cf395b4acc51	16791	156716836	2024-10-02	2024-11-01
3e033918-e8a1-4bda-ac9e-01a72f4bc242	267862	425181995	2024-11-13	2024-12-13
53558022-f526-440c-9261-d3d861e6e38d	182457	2266111809	2024-08-03	2024-09-02
c1e50c6d-a9bf-4cb4-9c9b-c2f39022aa9b	67855	515110183	2024-04-27	2024-05-27
b3b2c87e-4597-4a5f-a3ff-a03d4e623583	111053	1588162192	2024-03-06	2024-04-05
139853f4-4e77-427d-bc8c-63f6ecc22a82	78386	843935723	2024-06-26	2024-07-26
7c7a1352-75a4-4e85-9728-7d8f0ba8b9bf	46110	440137187	2024-07-28	2024-08-27
bfa3f858-98c9-4b13-a2cf-f234f9c7d093	37119	8432211389	2024-01-02	2024-02-01
715b7602-9254-4949-8f21-9b992d9d27f8	107843	689839960	2024-05-21	2024-06-20
74ca431e-29d0-483f-8350-cf96b3c63b5f	23223	525934197	2024-05-24	2024-06-23
d32fb428-e71e-48d2-9535-3c93a5ddacf7	61806	037370139X	2024-08-21	2024-09-20
bec58f0a-653f-44bf-a269-250e1e81a42f	140552	395791251	2024-07-04	2024-08-03
bac2a886-9ea6-4b7d-b912-983d20c99faa	146479	3784417167	2024-01-26	2024-02-25
c3624ac3-28fe-4c6a-9e94-d97d2defd68a	14558	836267516	2024-02-17	2024-03-18
56e928a9-ee81-4154-82ec-3a32f6c83278	104893	015648109X	2024-12-14	2025-01-13
f1808cd6-d107-4061-ac71-5926d2bab539	213403	590447106	2024-10-20	2024-11-19
1e04ebca-84ba-4d7d-ac26-80d63fc7e733	57524	080411336X	2024-08-18	2024-09-17
5a9868ab-0bef-4593-af6a-9de09ccefbab	202283	805070206	2024-09-02	2024-10-02
a989f72e-8748-4c06-823e-88c6139845b1	92420	852634544	2024-04-06	2024-05-06
75737caf-171a-4242-94f7-556383a0e4dc	162905	1858286018	2024-12-24	2025-01-23
13e8ea6c-f5bb-4e29-b355-fc26491dd74b	131775	1577490657	2024-07-22	2024-08-21
7fc441bc-28cb-4cd0-b230-74b53985eee9	175684	709185790	2024-02-23	2024-03-24
d432052f-89fc-42f0-84fb-3151cf45c769	14757	439284031	2024-04-01	2024-05-01
f56310f3-3a23-49f8-9d2b-0a6c05464e0f	178383	840790414	2024-03-27	2024-04-26
6b336617-7d70-4e54-a1ce-27296f201c1b	195484	812815343	2024-04-10	2024-05-10
e0cc734b-fd72-4424-a25d-18812c56449e	93909	345383826	2024-03-04	2024-04-03
9a8d6cc3-39ed-4682-9153-d3de679702c0	200342	812504283	2024-04-19	2024-05-19
f93cb610-d74a-457e-b25e-aa3bb4b71010	210966	786862262	2024-05-23	2024-06-22
4c4128c7-0a14-405e-88fa-2807cb3f3927	273229	346201756X	2024-09-28	2024-10-28
a8f3b98c-f3cc-4cb1-8ba8-07c3cc734b1e	111421	425174409	2024-02-06	2024-03-07
d3286294-d434-4eed-b163-d94dd1c430d5	219320	340248793	2024-05-24	2024-06-23
c0836577-1ce0-4907-805c-a7f910638d2b	222954	671737473	2024-09-15	2024-10-15
2e9f9226-a8e8-4a80-ba6c-7f7073212150	206588	3530100072	2024-12-10	2025-01-09
2b2bc925-e9aa-4ae3-873b-3e18fc1a9bdb	134431	079383578X	2024-11-10	2024-12-10
5f088ae8-edaa-4460-8c0c-8b25535a68d6	89424	743418174	2024-08-05	2024-09-04
01017384-c7a4-472b-988a-a11c56fd8ea0	84358	1570640475	2024-07-28	2024-08-27
fd19bb40-e037-408a-8bad-5983a014a97e	73630	876544766	2024-12-14	2025-01-13
08934909-5600-4516-85e9-2c7f93e01e03	190151	300084781	2024-10-06	2024-11-05
7072bdd9-97b9-42b4-916c-79e7c679e631	44175	842315071	2024-12-29	2025-01-28
5ff1e661-db52-43f0-af22-83c845b516c5	194075	075151912X	2024-11-07	2024-12-07
e8007766-227d-45a2-95be-b3f1e87de2d2	29193	62505890	2024-05-25	2024-06-24
9290c070-6789-4c2e-acc4-ed0ae158fa95	69658	373272316	2024-06-06	2024-07-06
c118560f-5fe1-4694-a337-8ff128366b32	243957	760708118	2024-12-08	2025-01-07
c8814883-a1f5-4fe0-b9e2-e4b070e7c0cb	33853	446530557	2024-09-12	2024-10-12
65fa5901-db46-4360-bf45-6d6099078011	88040	140195602	2024-09-19	2024-10-19
b55c4654-ad6f-429d-a6de-8ea4989691d3	261197	596001959	2024-02-25	2024-03-26
023b5783-9120-4468-b258-a27ad8cedb02	94366	1889514055	2024-09-04	2024-10-04
cfc920a9-be67-4cc8-b82f-4ff5fb7f1c34	169122	451450078	2024-05-27	2024-06-26
ce75ef01-7d84-4c16-a006-ab1d8aa2cbd1	50282	158134449X	2024-11-02	2024-12-02
2805fea3-52fc-49de-ba78-f6322590dc79	59883	880387483	2024-04-08	2024-05-08
6ae72686-56f3-4177-b04f-df9434b91ce4	75541	1945203	2024-05-21	2024-06-20
25420f80-c2eb-4e97-b52a-d36fd90b8fd9	37717	895551969	2024-01-28	2024-02-27
84e581b7-4e2b-459c-b78a-3f843721470a	123606	373805357	2024-10-17	2024-11-16
f051275f-2beb-4700-a7e6-ac2f84a2f3c4	165591	8432295051	2024-09-09	2024-10-09
1eee4aac-c55d-47f1-966b-728c2eed4638	278106	60988649	2024-02-19	2024-03-20
8581db47-b929-47b0-9928-190f76e07ef5	81914	373825390	2024-10-05	2024-11-04
7d175a80-a4c5-41a4-84fe-a60d5f968bbb	121881	936005025	2024-04-22	2024-05-22
1f3dd60e-99ad-4725-90c8-483921941695	165734	2859403639	2024-12-24	2025-01-23
a4812bc4-bb19-4254-8979-6bbc04a7d6e2	40416	345302362	2024-07-05	2024-08-04
76761875-16b0-4887-b3fc-9ae0740fab09	224590	373054777	2024-01-03	2024-02-02
cb41c151-a3c3-4587-ad06-48d094f09cc9	84975	61081809	2023-12-31	2024-01-30
691de52f-1dc7-475a-8e1e-deb95bb5a083	121064	156260409	2024-05-31	2024-06-30
e765d5bc-4f65-48b6-b05c-04dba48253f9	145343	8806137891	2024-08-24	2024-09-23
253bf4e3-f653-4cf4-8f45-97065983b899	125609	877147728	2024-02-10	2024-03-11
0a0cf981-46dd-4005-9025-1f7c7697c4c8	117551	767904613	2024-03-31	2024-04-30
2b523117-e96d-49f4-bfb3-439025273ea9	203196	446612855	2024-11-20	2024-12-20
